job_id,major,job_title,job_description_simple,job_skill_set_simple
3902668440,hr,sr human resource generalist,Sr hr generalist provides hr expertise across various functions including employee relations talent acquisition performance management payroll compensation and benefits . Role also supports hr operations with weekly payroll processing .  process weekly payroll as needed ensure compliance with federal state and local payroll regulations and company policies . assist in the development and implementation of hr policies and procedures ensuring compliance with applicable laws and regulations .,Human capital management system . HR policies and procedures . HR audits and assessments . HR policy and HR policies . HR guidelines . HR
3905823748,hr,human resources manager,The manager of human resources is responsible for planning developing leading and coordinating all activities under the human resources umbrella . Must have a thorough understanding of federal and state legal compliance duties . Responsibilities include developing and executing best practices in talent acquisition .  microsoft office 3 years required . micro,MCP certification is required to certify a microsoft employee performance
3905854799,hr,director of human resources,The director of human resources at our client is responsible for leading the human resources functions programs and staff . The role involves ensuring that the company is resourced to effectively meet current and future workforce demands .  The position is responsible for all human resources functions including recruitment retention employee relations datarecords management training development performance management recognition policy and benefits ensure compliance with all laws .  the supreme group is an equal opportunity employer and believes that diversity and inclusion among its team is critical to its success . apply now to become the director,Human resources management is a management tool that can be applied to a job . The
3905834061,hr,chief human resources officer,East 57th street partners is seeking an experienced and innovative chief human resources officer chro for a leading entertainment and media company . The ideal candidate will bring strategic hr leadership to a dynamic healthcare environment focusing on talent management and organizational excellence .  Qualified for a position in a senior role ideally in a healthcare industry or a related field . Worked with executive leadership to drive change management and organizational development .,HR analytics and benefits strategies are a key part of the HR strategy . HR
3906250451,hr,human resources generalist hybrid role,avispl is a digital enablement solutions provider who transforms how people and technology connect . The position is primarily focused on supporting HR initiatives and strategies related to organizational development change management daytoday responsibilities .  Avispl is an equal opportunityaffirmative action employer all qualified applicants will receive consideration for employment .  Federal contractor,microsoft office data analysis employee onboarding strategic thinking problem solving time management attention to
3901389277,hr,human resources manager,The role requires daily presence onsite at the company headquarters with visits to branch offices in anaheim concord concord woodinville wa and future locations quarterly and as needed at other times .  The employee handbook will provide guidance and support to all managers and supervisors in navigating labor compliance . It will provide direction to field staff on company policies and procedures .  Administers employee benefit programs to include medical dental vision life minsurance . Administates 401k retirement plan and aflac benefit offerings . Supports coordination of timely employee separations including all paperwork final pay system updates postseparation paperwork .  Work interactively with the health and safety team in implementing the company safety programs . Support efforts to implement paperless onboarding benefits management and other hris functions in the viewpoint vista erp system .  3 to 5 years of experience in a role as hr manager . 3 years construction or similar industry experience . 3-5 years construction experience valid drivers license and reliable transportation proficiency .,hr management talent acquisition talent acquisition labor compliance employee relations benefits administration payroll management .
3902348043,hr,human resources generalist,turn 14 distribution is always seeking great talent that will continue to elevate us as an industry leader position overviewwe are searching for a hr generalist .  The position may have to walkthrough the distribution facility to meet with employees tour the facility andor provide coaching training and development to employees at every turn .  program we value all employees we believe we are one these beliefs extend to everyone we encounter,microsoft office communication attention to detail professionalism and onboarding performance management
3906258424,hr,human resources information system specialist,The role of an hr information systems specialist is multifaceted involving a blend of human resources data analysis and technology . The primary responsibility is to collaborate with human resources business leaders executives and it to understand business needs gather requirements and implement solutions .  Visit nurse health system provides equal employment opportunities to all employees and applicants . Human resources or accounting finance or an equivalent level of experience .,Hris reporting data compilation excel technology solutions compliance knowledge collaboration communication problem solving recommendation making
3891070825,hr,human resources generalist,The ideal candidate will be responsible for recruitment efforts new hire orientation and onboarding employee termination and company policy and procedure adherence .,"HBR experience: HR experience, interpersonal"
3901949090,hr,human resources project manager,Must haves 5 yoe in hr project managementsmartsheets or similar tools creating hr training programs creating hr communications for enterprise organizations working with confidential information skill experience required experience with hr project management .,project documentation communication communication communication . relationship building problem solving team collaboration leadership leadership .
